Бренд;Название;"Цена в у.е.";"Цена в бел.руб."
Бомбус;"Топтыжкина радость (7 предметов)";130;1384500
Бомбус;"Три медведя (7 предметов)";175;1863750
Бомбус;"Тэдди Бир (7 предметов)";140;1491000
Бомбус;"Юленька (7 предметов)";110;1171500
Бомбус;"Юленька (3 предмета)";27;287550
Ides;"Compo 2";250;2662500
Ides;"Compo Picnic";250;2662500
S-line;Polly;128;1363200
Рио;Аленка;275;2928750
Рио;Вероника;134;1427100
Рио;"Вероника с сердечком";146;1554900
Рио;"Виктория-2 (колесо-качалка)";140;1491000
Рио;"Виктория-2 (колесо-качалка/ящик)";182;1938300
Рио;"Виктория-2 (маятник)";220;2343000
Рио;Джулия;188;2002200
Рио;"Джулия с сердечком";190;2023500
Рио;Мишка;180;1917000
Рио;Яна;180;1917000
;"Белокопытный пони средний";280;2982000
;"Белокопытный Ночка средний";300;3195000
Рио;"Яна с сердечком";183;1948950
Riko;"Amigo (2 в 1)";279;2971350
Лель;"АБ 33.2";430;4579500
Лель;"АБ 34";396;4217400
Лель;"БИ 36 Бриллиант";520;5538000
;"Единорог малый";280;2982000
;"Единорог средний";330;3514500
;"Зебра малый";250;2662500
;"Зебра средний";300;3195000
;"Королевский пони средний";330;3514500
;"Королевский пони малый";280;2982000
Лель;"АБ 55";97;1033050
Лель;"АБ 35";622;6624300
Лель;"АБ 56";250;2662500
;"Черная лошадка Ночка малый";250;2662500
;"Черная лошадка Ночка средний";300;3195000
Adamex;"Mars (2 в 1)";315;3354750
Adamex;Young;170;1810500
Adamex;"Classic (2 в 1)";314;3344100
Adamex;"Royal (2 в 1)";300;3195000
Adamex;"Nitro (2 в 1)";320;3408000
"Baby Care";Polo;100;1065000
"Baby Care";Vento;55;585750
Giovanni;"Fantasia Lux";380;4047000
Giovanni;Fantasia;363;3865950
Giovanni;Magico;455;4845750
Giovanni;"Marinero Baby (4 предмета)";175;1863750
Giovanni;"Premium (4 предмета)";175;1863750
Giovanni;"Teddy (4 предмета)";175;1863750
Jetem;Gracia;125;1331250
Jetem;Magic;140;1491000
Jetem;Capitan;115;1224750
Jetem;Piero;120;1278000
Jetem;"(Capella) Premium";83;883950
Jetem;"(Capella) Relax";105;1118250
Jetem;Roadster-1;199;2119350
Maclaren;Triumph;250;2662500
Jetem;Ranger;270;2875500
Jetem;"Land Rover Discovery 4 KL-7006F";320;3408000
Maclaren;"Twin Triumph";475;5058750
Jetem;Storm;270;2875500
Jetem;Scat;245;2609250
Jetem;Mini;145;1544250
Jetem;Coupe;188;2002200
Jetem;"Star Art";200;2130000
Jetem;Boxter;190;2023500
Jetem;Beetle;188;2002200
Jetem;"X-sport 5118";220;2343000
Jetem;"Police 2126";130;1384500
Jetem;"Super Sport";130;1384500
Espiro;Neo;90;958500
Jetem;Bugatti;125;1331250
Jetem;"Rover V005";128;1363200
Jetem;Bentley;125;1331250
Jetem;SWX;320;3408000
Jetem;"Mersedes Benz W221";285;3035250
Jetem;"Jaguar XFR KL-7004F (Тёмно-синий металлик)";255;2715750
Jetem;"Volvo С70 KL-7005F (Вишнёвый металлик)";250;2662500
Jetem;"Lamborghini Murcielago KL-7001F";260;2769000
Jetem;Fast;102;1086300
Jetem;"Mega Tredz ATV 12B";460;4899000
Jetem;"Mega Tredz Grizzly 24B";620;6603000
"PP Toy Cars";"Diesel Tractor";0;0
Riko;Avant;197;2098050
Riko;"Balerina (2 в 1)";275;2928750
Lonex;"Speedy V Light (2 в 1)";405;4313250
Lonex;"Speedy V Light Velure (2 в 1)";460;4968000
Lonex;"Speedy Verts (2 в 1)";375;4050000
Gusio;Мишка;70;745500
Gusio;Солнышко;70;745500
"Bertoni (Lorelli)";"BW 4";32;342400
"Bertoni (Lorelli)";"BW 10";37;395900
"Bertoni (Lorelli)";"BW 14";35;374500
;"ET 128В-18";79;841350
;"ET 109В-11";70;745500
Riko;"Satino (2 в 1)";290;3088500
Riko;"Alpina (2 в 1)";290;3088500
;"ET 109В-14";70;745500
;"Элит A 23-2";71;756150
;"ET 101B-7";68;724200
;"ET 109B-17";71;756150
Riko;"Eliza (2 в 1)";314;3344100
Riko;"Ranger (2 в 1)";261;2779650
Riko;"Charlotte (2 в 1)";289;3077850
Riko;"Carmen (2 в 1)";293;3120450
Riko;Tuskan;164;1746600
Riko;"Driver PC";208;2215200
Riko;Grand;245;2609250
Riko;Master;219;2332350
Riko;Viper;240;2556000
Riko;"Blanca (2 в 1)";315;3354750
"Baby Design";Dumbo;65;692250
"Baby Design";Rino;78;830700
"Baby Design";Handy;99;1054350
"Baby Design";"Sprint Plus (2 в 1)";240;2556000
"Baby Design";Loko;105;1118250
Espiro;Delta;140;1491000
Espiro;Sigma;115;1224750
Espiro;Magic;182;1938300
Espiro;Active;110;1171500
Espiro;Vayo;120;1278000
Espiro;"Modena Silver Line (2 в 1)";387;4121550
Riko;"Anabel (2 в 1)";320;3408000
Riko;"Axel (V-Max)";247;2630550
Riko;"Katrin (2 в 1)";314;3344100
Riko;"Royal (2 в 1)";291;3099150
Bebetto;"Luca (2 в 1)";446;4772200
Bebetto;"Aquarius (2 в 1)";464;4964800
;"Квадроцикл 789";240;2556000
Bebetto;"Torino (2 в 1)";422;4515400
;"BMW (маленький)";135;1437750
Bebetto;"Solaris (2 в 1)";422;4515400
;"Квадрацикл A-22";230;2449500
;"Land rover";250;2662500
;Туарег;270;2875500
Bebetto;"Pascal (2 в 1)";448;4793600
Bebetto;"Fabio (2 в 1)";432;4622400
Bebetto;"Expander (2 в 1)";356;3809200
;"Минни Купер";230;2449500
;"Мерседес SLR";230;2449500
;"BMW X6";300;3195000
Bebetto;"Bono Classic";200;2140000
Seca;Малыш;30;319500
Lonex;"Speedy Style (2 в 1)";335;3567750
Lonex;"Speedy Ecco (2 в 1)";435;4698000
Lonex;"Julia Baronessa (2 в 1)";315;3354750
;Тачки;40;426000
;Китти;40;426000
;Ben10;40;426000
;"Самокат 808 ";45;479250
Lonex;"Classic Retro (2 в 1)";435;4698000
Lonex;"Classic Retro Len (2 в 1)";465;5022000
Lonex;"Classic Len (2 в 1)";450;4792500
Lonex;"Classic Ecco (2 в 1)";420;4473000
"Bertoni (Lorelli)";"SU 7732А";58;620600
Bebetto;Explorer;284;3038800
Bebetto;"Holland (2 в 1)";356;3809200
Bebetto;Joker;233;2493100
Bebetto;"Murano (2 в 1)";344;3680800
Bebetto;"Super Kid";260;2782000
"STM (Recaro)";"Solar Seatfix";245;2609250
Sundays;"Audi B20A Красный";115;1224750
Bebetto;Tiger;278;2974600
Sundays;"Harley Davidson B19 Черный";185;1970250
Sundays;"Mini Cooper JE118 Розовый";228;2428200
;"Тигр малый";250;2662500
;"Тигр средний";300;3195000
Bebetto;"Vulcano (2 в 1)";351;3755700
Sundays;"KL108 Желтый";239;2545350
Sundays;"Rover JJ012 Черный";264;2811600
Sundays;"Audi B28A Белый";270;2875500
Bebetto;Nico;294;3145800
Sundays;"BMW B28B Черный";270;2875500
Bebetto;Filippo;217;2321900
Bebetto;Magelan;185;1979500
Sundays;JS007;225;2396250
Bebetto;"Magnum (2 в 1)";364;3894800
Sundays;"BMW X8 A061 Черный";295;3141750
Sundays;D304;235;2502750
Adamex;"Nitro Deluxe (2 в 1)";360;3834000
Adamex;Galaxy;184;1959600
Adamex;"Enduro (2 в 1)";323;3439950
Aneco;"Venezia (2 в 1)";300;3195000
Vegas;Coco;56;596400
Vegas;Cocolatex;76;809400
Vegas;Spring;68;724200
Heyner;"MaxiProtect ERGO SP";135;1451250
Дэми;№2;55;564200
Heyner;"SafeUp XL";47;505250
Heyner;"Baby SuperProtect";82;881500
Heyner;"MaxiProtect AERO SP";104;1118000
Heyner;"MultiProtect ERGO SP";166;1784500
Плитекс;"Юниор (для коляски или люльки) Ю-780-03";17;170800
Плитекс;Юниор;28;282800
Плитекс;"Юниор-Premium (ЮП-119-01)";21;207200
Caretero;Spaser;117;1263600
Caretero;Maximus;180;1944000
Плитекс;"Юниор-Плюс (ЮС-119-01)";25;249200
Caretero;Gringo;102;1101600
Caretero;Monaco;124;1339200
Плитекс;"Комфорт-Стандарт-1 (КС-119-01)";35;357400
" ";"Бугатти (7628)";50;532500
Caretero;Helio;162;1749600
Caretero;Alfa;77;831600
" ";"Мини Квадро";50;532500
Tako;"Warrior (2 в 1)";285;3035250
" ";"Панда (7601)";50;532500
Anmar;"Hilux (2 в 1)";225;2396250
" ";"Улыбка (с ручкой)";65;692250
Anmar;"Zico (2 в 1)";265;2822250
Антел;Алита-2;100;1065000
Антел;Алита-3;130;1384500
Антел;Алита-4;169;1799850
Антел;Алита-5;131;1395150
Антел;Алита-6;176;1874400
Caretero;Magnus;120;1296000
Caretero;Primus;130;1404000
Caretero;Royo;135;1458000
Canpol;«Зоопарки»;64;681600
Canpol;"«Лев» (озвученный)";67;713550
Canpol;"«Кролик» (озвученный)";63;670950
Canpol;"«Медвежонок» (озвученный)";62;660300
Canpol;«Мишка»;61;649650
Canpol;«Слон»;59;628350
Canpol;«Ферма»;72;766800
Canpol;"«Королевство зверей»";90;958500
Canpol;"«Подводное королевство»";72;766800
Canpol;"«Радужный луг»";84;894600
Caretero;Astral;57;615600
Caretero;Grande;135;1458000
Caretero;"Medio Safari";115;1242000
Caretero;"Medio Classic";115;1242000
Caretero;Simplo;87;939600
Caretero;Fly;65;702000
Caretero;Fenix;105;1134000
"Baby Care";Voyager;80;852000
"Baby Care";"Grand Voyager";80;852000
"Baby Care";"BSO Sport";135;1437750
"Baby Care";"ESO Sport Premium";131;1395150
Caretero;Ibiza;123;1328400
Caretero;"Sport Turbo";130;1404000
Caretero;"Diablo XL";150;1620000
"Baby Care";"Sport Evolution";155;1650750
Heyner;"MultiProtect Aero SP";151;1623250
"Baby Care";"BSO Basic";135;1437750
"Baby Care";"ESO Basic Premium";140;1491000
Heyner;"Capsula Protect 3D";195;2096250
"Baby Care";"Side Armor";145;1544250
Graco;"Stadium Duo";230;2449500
"Baby Care";Encore;145;1544250
"Baby Care";"Pinguin plus";88;937200
"Baby Care";"Booster 1";30;319500
"Baby Care";"Basic Evolution";135;1437750
"Baby Care";Cocoon;199;2119350
"Baby Care";"Side Armor Evolution";155;1650750
"Baby Care";Diadem;98;1043700
Caretero;Spider;97;1047600
"Baby Care";"King Pinguin";130;1384500
Caretero;ViVo;87;939600
"Baby Design";"Lupo (2 в 1)";375;3993750
Espiro;Capri;70;745500
Canpol;"«Весенняя поляна» (6 мелодий)";40;426000
Canpol;"«Мишка с друзьями»";40;426000
Canpol;"«Коровы и гиппопотамы»";0;0
Canpol;"«Мишки и утки»";0;0
Canpol;«Улыбки»;27;287550
Canpol;«Эльфы»;25;266250
Canpol;"«Цветные птицы»";27;287550
Canpol;"«Водный мир»";28;298200
Canpol;"«Птичий рай»";26;276900
Canpol;«Животные»;32;340800
Canpol;«Пузырьки»;30;319500
Canpol;«Мишки»;32;340800
Canpol;"«Животные с хвостиками»";32;340800
Canpol;"«Мишки с леденцом»";30;319500
Canpol;"«Цветные пчелы»";0;0
"Bertoni (Lorelli)";Concord;80;856000
Canpol;"«Веселый зоопарк»";0;0
Canpol;"«Мишки в шапочках»";0;0
Canpol;"«Мишки под зонтиком»";39;415350
Canpol;"«Девочки-мишки под зонтиком»";39;415350
Canpol;"«Животные под зонтиком»";40;426000
Cam;Micro;150;1597500
Inglesina;Zuma;259;2758350
"Bertoni (Lorelli)";"Bodyguard Lifesaver";57;609900
Canpol;"«Цветные друзья»";56;596400
Canpol;"«Цветы и птицы»";0;0
Canpol;"«Лунная ночь»";0;0
Canpol;"«Морская компания»";0;0
Canpol;"«Цветущий луг»";42;447300
Canpol;"«Молочная страна»";0;0
Canpol;"«Веселое сафари»";43;457950
"Bertoni (Lorelli)";Mondeo;80;856000
Canpol;«Мапеты»;38;404700
Canpol;«Гиппопотамы»;0;0
Peg-Perego;"GT3 Naked";670;7135500
Peg-Perego;Si;335;3567750
Peg-Perego;"Book Classiko";450;4792500
"Philips Avent";"Natural SCF 330/12 (86530) (с системой хранения молока Via)";82;865000
"Philips Avent";"Natural SCF 330/20 (86820) (без системы хранения молока)";68;701000
Peg-Perego;"Pliko P3 Compact";440;4686000
Medela;Harmony;69;734850
Medela;"Mini Electric";125;1331250
Medela;Swing;210;2236500
Peg-Perego;"Pliko Switch Easy Drive";540;5751000
Ides;"Сargo plus";250;2662500
Peg-Perego;"Pliko Mini";230;2449500
Cam;Istante;283;3013950
Graco;"Sweet N Nuggle (Snuggleswing)";234;2492100
"Bertoni (Lorelli)";Pilot+;75;802500
"Bertoni (Lorelli)";Gama;74;791800
Бамбини;"Плюс (качалка) Э01.10.01";80;915200
Бамбини;"Плюс (маятник) Э01.10.03";118;1229800
Бамбини;"Плюс (ящик+маятник) Э01.10.02";151;1573000
Peg-Perego;Uno;445;4739250
Chicco;"Simplicity Top";165;1757250
"Bertoni (Lorelli)";City;187;2000900
"Bertoni (Lorelli)";"Zippy 2 Plus";103;1102100
Peg-Perego;Borsa;105;1118250
EasyGo;Holiday;108;1150200
Sundays;D140;160;1704000
EasyGo;Loop;154;1640100
Sundays;D366;320;3408000
Sundays;D426;453;4824450
Sundays;D457;505;5378250
Sundays;D304;386;4110900
Sundays;"D366 (комплект)";517;5506050
Sundays;"D 183 (от дождя)";27;287550
Sundays;"D 244 (от дождя)";36;383400
Sundays;"D 304 (от доджя)";43;457950
4Baby;Race;77;820050
4Baby;Zicco;122;1299300
4Baby;Shape;111;1182150
4Baby;City;127;1352550
4Baby;Guido;112;1192800
EasyGo;Milo;96;1022400
EasyGo;Senso;122;1299300
EasyGo;Vito;127;1352550
EasyGo;"Duo Comfort";194;2066100
Inglesina;Front;62;660300
"FD Design (ABC Design)";City;120;1278000
"FD Design (ABC Design)";"Easy Walker";155;1650750
"FD Design (ABC Design)";Flach;95;1011750
"FD Design (ABC Design)";Fortis;170;1810500
"FD Design (ABC Design)";Mini;65;692250
"FD Design (ABC Design)";Polo;120;1278000
"FD Design (ABC Design)";Talea;199;2119350
"Silver Cross";Oberon;0;0
"Silver Cross";"Sleepover Elegance";950;10117500
"Silver Cross";"Sleepover Deluxe";900;9585000
"Silver Cross";"Sleepover Sport";0;0
"Silver Cross";Balmoral;3500;37275000
"Dada Paradiso Group";"Glamour Dots (2 в 1)";365;3887250
"Bertoni (Lorelli)";Beta;77;823900
"Bertoni (Lorelli)";Bumper;80;856000
"Bertoni (Lorelli)";F1;125;1337500
"Bertoni (Lorelli)";"Grand Prix";80;856000
Roan;"Marita (2 в 1)";360;3834000
Плитекс;"Комфорт-Стандарт-2 (КС2-119-01)";38;383600
Hoco;"Champ S";0;0
"Dada Paradiso Group";"Carino (2 в 1)";332;3535800
"Dada Paradiso Group";"Etno Pasky (2 в 1)";340;3621000
Feretti;"Giraffe (6 предметов)";140;1491000
Feretti;"Jolly (6 предметов)";135;1437750
Feretti;"Juliet (6 предметов)";135;1437750
Feretti;"Jungle (6 предметов)";140;1491000
Feretti;"Lapin (6 предметов)";140;1491000
Feretti;"Lazy Donkey (6 предметов)";145;1544250
Feretti;"Little Cow (6 предметов)";145;1544250
Feretti;"Lucky Stars (6 предметов)";140;1491000
Плитекс;"Юниор (в трансформер) Ю-119-19";19;194600
Feretti;"Orsetti (6 предметов)";150;1597500
Плитекс;"EcoSoft (ЭКС-01)";42;433300
Плитекс;"EcoDream (ЭКД-01)";40;413100
Плитекс;"EcoLux (ЭКЛ-01)";54;558900
Плитекс;"EcoLat (ЭКТ-01)";59;604800
Feretti;"Orso di Cristallo (6 предметов)";155;1650750
Feretti;"Petit Bebe (6 предметов)";145;1544250
Feretti;"Pony (6 предметов)";140;1491000
Feretti;"Princess (6 предметов)";135;1437750
Feretti;"Rabbit (6 предметов)";145;1544250
Feretti;"Ricordo (6 предметов)";145;1544250
Feretti;"Romeo (6 предметов)";125;1331250
Feretti;"Safari (6 предметов)";125;1331250
Feretti;"Sleepy Bears (6 предметов)";145;1544250
Feretti;"Tropical Island (6 предметов)";115;1224750
Feretti;"Vintage Flowers (6 предметов)";150;1597500
Feretti;"Bella (6 предметов)";140;1491000
Feretti;"Bee (6 предметов)";135;1437750
Intex;"Easy Set 457x107 (54908)";357;3802050
"Baby Care";Avia;120;1278000
"Baby Care";"Buggy B01";43;457950
Intex;"Easy Set 457х91 (54914)";328;3493200
"Baby Care";"Buggy D11";39;415350
Intex;"Ultra Frame 488х122 (54922)";0;0
"Baby Care";Calipso;365;3887250
Intex;"Oval Frame Pool 549х305х107 (54932)";576;6134400
"Baby Care";"Citi Twin";170;1810500
"Baby Care";"City Style";85;905250
"Baby Care";Discovery;175;1863750
Intex;"Metal Frame 732х132 (54938)";0;0
Intex;"Metal Frame 457х107 (54940)";0;0
Intex;"Metal Frame 457х91 (54942)";0;0
"Baby Care";Eclipse;288;3067200
Intex;"Easy Set 457x91 (56412)";248;2641200
"Baby Care";Flash;58;617700
Intex;"Easy Set 366x76 (56422)";134;1427100
"Baby Care";"GT 4.0 Plus";160;1704000
Intex;"Easy Set 366x91 (56930)";109;1160850
"Baby Care";"Jogger Cruze";137;1459050
Intex;"Metal Frame 732x132 (54950)";1500;15975000
"Baby Care";"Manhattan Air-4S";350;3727500
Intex;"Easy Set 244x76 (56972)";0;0
Intex;"Metal Frame 366х76 (56994)";0;0
Intex;"""Король лев"" (57492NP)";60;639000
Intex;"Pirate Play Center 292х218х196 (57133NP)";0;0
Intex;"Easy Set 549х122 (54920)";0;0
Intex;"Oval Frame 610х366х122 (54934)";0;0
Intex;"Easy Set 549x120 (56905)";0;0
Intex;"Easy Set 305x76 (56922)";0;0
Intex;"Easy Set 366x91 (56932)";0;0
Intex;"Metal Frame 366х76 (56996)";0;0
Intex;"Metal Frame 305х76 (56997)";0;0
Intex;"Metal Frame 305х76 (56999)";0;0
Intex;"Игровой центр Винни Пух 297х193х135 (57451NP)";0;0
Intex;"Metal Frame 549x122 (57954)";0;0
Intex;"Rectangular Frame 260x160x65 (58980)";0;0
Intex;"Rectangular Frame 300x200x75 (58981)";0;0
Intex;"Игровой центр с распылителем Океан 254х196х79 (57454NP)";0;0
Intex;"Easy Set 305x76 (56920)";0;0
Intex;"Swim Center Pinwheel 229х56 (56494)";0;0
ПМДК;Премьер;60;639000
Starplast;"34x40x42см (32-506)";68;724200
"Baby Care";Michelle;324;3450600
Starplast;квадратная(25-515);0;0
"Baby Care";"New York";190;2023500
"Baby Care";Premier;165;1757250
"Baby Care";Rome;190;2023500
"Baby Care";Seville;185;1970250
"Baby Care";Sonata;315;3354750
"Baby Care";"Suprim (2 в 1)";385;4100250
"Baby Care";"Suprim Solo";237;2524050
"Baby Care";Voyager;95;1011750
"Baby Care";"Manhattan 4S";320;3408000
Starplast;25-515;59;628350
Sundays;ZY-004;135;1437750
Sundays;ZY-018;220;2343000
Sundays;ZY-020;298;3173700
Sundays;ZY-021;400;4260000
Гандылян;"Софи М (маятник)";400;4260000
Гандылян;"Джулия (бабочка) (маятник)";367;3908550
Гандылян;"Моника (колесо-качалка) ";340;3621000
Гандылян;"Шарлотта (колесо-качалка)";286;3045900
Гандылян;"Даниэль (колесо-качалка)";289;3077850
Гандылян;"Дашенька (маятник)";333;3546450
Гандылян;"Джозеппе (колесо-качалка)";275;2928750
Гандылян;"Джозеппе (маятник)";367;3908550
Гандылян;"Людмила (маятник продольный)";259;2758350
Гандылян;"Мишель (колесо-качалка)";350;3727500
Гандылян;"Мишель (маятник)";440;4686000
"Happy Baby";Catherine;410;4366500
"Happy Baby";Letitia;425;4526250
Гандылян;Арландо;350;3727500
Гандылян;Патрик;352;3748800
Гандылян;"Анжелика (колесо-качалка)";275;2928750
"Bertoni (Lorelli)";Elite;114;1219800
"Bertoni (Lorelli)";Jolly;76;813200
"Bertoni (Lorelli)";Royal;109;1166300
"Bertoni (Lorelli)";"Yam Yam";105;1123500
"Bertoni (Lorelli)";"Lady bird 2188K";56;599200
"Happy Baby";Samantha;360;3834000
"Happy Baby";Amanda;155;1650750
Sundays;ZY-006;109;1160850
Sundays;ZY-003;144;1533600
Sundays;ZY-019;240;2556000
Sundays;ZY-022;471;5016150
Sundays;ZY-029;637;6784050
Sundays;FS-1011;0;0
"Happy Baby";Linda;130;1384500
"Happy Baby";Cindy;145;1544250
"Happy Baby";Maria;80;852000
"Happy Baby";Atlant;145;1544250
"Happy Baby";"Taurus Deluxe";216;2300400
"Happy Baby";Taurus;174;1853100
"Happy Baby";Gelios;135;1437750
"Happy Baby";Oliver;175;1863750
"Happy Baby";Kevin;180;1917000
"Happy Baby";Steven;145;1544250
"Happy Baby";Oscar;85;905250
"Happy Baby";Tomas;190;2023500
"Happy Baby";Martin;155;1650750
"Happy Baby";Alex;150;1597500
"Silver Cross";Surf;680;7242000
"Happy Baby";"Alex Plus";160;1704000
"Happy Baby";Robin;105;1118250
"Happy Baby";"Walker Mikki";95;1011750
"Happy Baby";Michael;80;852000
Starplast;46-560;341;3631650
Flipper;Flipper;15;159750
Starplast;69-560;341;3631650
Starplast;50-560;372;3961800
Влана;Мокик;220;2343000
Sundays;FS-1011;89;947850
"Happy Baby";Woody;105;1118250
"Happy Baby";Charlie;125;1331250
Sundays;FS-1004;131;1395150
"Happy Baby";"Orbit ST-003";115;1224750
"Happy Baby";"Orbit ST-002";100;1065000
Sundays;ZLB-AH06;0;0
Влана;"Китти Пикник";220;2343000
Влана;Капуста;220;2343000
Sundays;ZLB-AH08+;0;0
Sundays;"Championship-2012, S108";0;0
Sundays;YD-S313;0;0
Sundays;ZLB-S02;0;0
Влана;"Бьянка (4 ящика)";222;2364300
Влана;"Бьянка (5 ящиков)";232;2470800
Влана;Бьянка;58;617700
Влана;Розы;58;617700
Влана;Франческо-1;58;617700
Влана;Франческо-2;58;617700
Влана;"Меандр (золото)";58;617700
Влана;"Меандр (серебро)";58;617700
Влана;"Меандр (фисташка)";58;617700
Lexus;"Trake Vip";164;1746600
"Happy Baby";"Orbit ST-001";62;660300
Maclaren;Globetrotter;225;2396250
Maclaren;"Mark II";250;2662500
Maclaren;"Quest Zodiac";380;4047000
Maclaren;Spitfire;433;4611450
Maclaren;"Twin Triumph Denim";485;5165250
Graco;"Evo (2 в 1)";520;5538000
Amalfy;Frosh;115;1224750
Quatro;Mini;72;766800
